address,riskCategories,riskScores
"0x37baa0937e750a22227627404d1a0ad5d4e29299","Sanctions, Mixer, Mixer","Severe, Low, Low"
"0x37baa0937e750a22227627404d1a0ad5d4e29299","Sanctions, Mixer, Mixer","Severe, Low, Low"
"0x37baa0937e750a22227627404d1a0ad5d4e29299","Sanctions, Mixer, Mixer","Severe, Low, Low"
"0xa37ae2ae68778c98bd2f8d48dad9538836e67905","Sanctions, Mixer, Mixer","Severe, Low, Low"
"0x8c58e64886134b885223bedfe5b5fea1480057e6","Sanctions, Mixer","Severe, Low"
"0x8c58e64886134b885223bedfe5b5fea1480057e6","Sanctions, Mixer","Severe, Low"
"0x8c58e64886134b885223bedfe5b5fea1480057e6","Sanctions, Mixer","Severe, Low"
"0x8c58e64886134b885223bedfe5b5fea1480057e6","Sanctions, Mixer","Severe, Low"
"0x8c58e64886134b885223bedfe5b5fea1480057e6","Sanctions, Mixer","Severe, Low"
"0x432dcbda06e8b296ca29705572d7cb6315ed8bed","Sanctions, Mixer, Mixer","Severe, Low, Low"
"0xb17f37452ccf77e56062256831d506ed36bd962a","Scam","High"
"0xb17f37452ccf77e56062256831d506ed36bd962a","Scam","High"
"0x8699df387c948171aa64e6c455e13362b1904d69","Decentralized Exchange, Scam, Decentralized Exchange, Gambling Service, Mining","Medium, Medium, Low, Low, Low"
"0x8699df387c948171aa64e6c455e13362b1904d69","Decentralized Exchange, Scam, Decentralized Exchange, Gambling Service, Mining","Medium, Medium, Low, Low, Low"
"0x8699df387c948171aa64e6c455e13362b1904d69","Decentralized Exchange, Scam, Decentralized Exchange, Gambling Service, Mining","Medium, Medium, Low, Low, Low"
"0x8699df387c948171aa64e6c455e13362b1904d69","Decentralized Exchange, Scam, Decentralized Exchange, Gambling Service, Mining","Medium, Medium, Low, Low, Low"
"0x14ff0bc9417b6796f79768729002a793b51205b8","Sanctions, Mixer","Severe, Low"
"0x06d13d1562eb9da28c59e86e9bfc2a87d13afb01","Sanctions, Mixer, Mixer","Severe, Low, Low"
"0x996b16f48285094ed837de3905aa293a2b3cbe05","Sanctions","Severe"
"0x2326d4fb2737666dda96bd6314e3d4418246cfe8","Sanctions, Mixer, Mixer","Severe, Low, Low"
"0x2326d4fb2737666dda96bd6314e3d4418246cfe8","Sanctions, Mixer, Mixer","Severe, Low, Low"
"0x996b16f48285094ed837de3905aa293a2b3cbe05","Sanctions","Severe"
"0xdc4aa239fcecaf47fa4493926264fc0975fa0df1","Violent Extremism, Mixer","High, Low"
"0xdc4aa239fcecaf47fa4493926264fc0975fa0df1","Violent Extremism, Mixer","High, Low"
"0x66b870ddf78c975af5cd8edc6de25eca81791de1","Sanctions, Mixer, Mixer","Severe, Low, Low"
"0x66b870ddf78c975af5cd8edc6de25eca81791de1","Sanctions, Mixer, Mixer","Severe, Low, Low"
"0xb72ed8401892466ea8af528c1af1d0524bc5e105","Sanctions, Mixer, Mixer","Severe, Low, Low"
"0xb72ed8401892466ea8af528c1af1d0524bc5e105","Sanctions, Mixer, Mixer","Severe, Low, Low"
"0x996b16f48285094ed837de3905aa293a2b3cbe05","Sanctions","Severe"
"0x06d13d1562eb9da28c59e86e9bfc2a87d13afb01","Sanctions, Mixer, Mixer","Severe, Low, Low"
"0x06d13d1562eb9da28c59e86e9bfc2a87d13afb01","Sanctions, Mixer, Mixer","Severe, Low, Low"
"0x06d13d1562eb9da28c59e86e9bfc2a87d13afb01","Sanctions, Mixer, Mixer","Severe, Low, Low"
"0x06d13d1562eb9da28c59e86e9bfc2a87d13afb01","Sanctions, Mixer, Mixer","Severe, Low, Low"
"0x06d13d1562eb9da28c59e86e9bfc2a87d13afb01","Sanctions, Mixer, Mixer","Severe, Low, Low"
"0x4026b3da349c2952255ca9db4f055ea57f4e037c","Sanctions, Mixer, Mixer","Severe, Low, Low"
"0x4026b3da349c2952255ca9db4f055ea57f4e037c","Sanctions, Mixer, Mixer","Severe, Low, Low"
"0x4026b3da349c2952255ca9db4f055ea57f4e037c","Sanctions, Mixer, Mixer","Severe, Low, Low"
"0x4026b3da349c2952255ca9db4f055ea57f4e037c","Sanctions, Mixer, Mixer","Severe, Low, Low"
"0x129d576f47ec14d6405b18cd5ceea09a1308c4f1","Sanctions, Mixer, Mixer","Severe, Low, Low"
"0x81b2587f04ddf814094ab88efdd4f29ee3407437","Mixer","Low"
